"NoW March 13, 2019",0
GAMES,0
"Take-Two settles copyright case with another GTA V cheat creator: Defendant Erik Cameron acknowledges violations, pays undisclosed settlement",https://www.gamesindustry.biz/articles/2019-03-12-take-two-settles-copyright-case-with-another-gta-v-cheat-creator
Take-Two Interactive shares jump after Sony acquisition rumors ,http://www.gamasutra.com/view/news/338584/TakeTwo_Interactive_shares_jump_after_Sony_acquisition_rumors.php
"About those rumors Sony is buying Take-Two...: How ""purely unconfirmed market speculation"" turns into headlines around the industry",https://www.gamesindustry.biz/articles/2019-03-13-about-those-rumors-sony-is-buying-take-two
Sega pulls Judgment from sale in Japan following drug arrest ,http://www.gamasutra.com/view/news/338552/Sega_pulls_Judgment_from_sale_in_Japan_following_drug_arrest.php
Sega pulls Judgment from sale in Japan after actor arrested for alleged cocaine use: Publisher is considering next move after Pierre Taki admits to violating nation's drug laws,https://www.gamesindustry.biz/articles/2019-03-13-sega-pulls-judgment-from-sale-in-japan-after-actor-arrested-for-alleged-cocaine-use
Anita Sarkeesian talks about exposing gaming’s most toxic trends with sheer data,https://arstechnica.com/gaming/2019/03/anita-sarkeesian-on-battling-negative-tropes-with-data-imagining-new-worlds/
"Inclusion in games a pressing concern for players, according to survey ",http://www.gamasutra.com/view/news/338465/Inclusion_in_games_a_pressing_concern_for_players_according_to_survey.php
Spyro Reignited Trilogy now features subtitles in cutscenes,http://www.gamasutra.com/view/news/338591/Spyro_Reignited_Trilogy_now_features_subtitles_in_cutscenes.php
Activision adds classic Spyro subtitles months after fan outcry [Updated],https://arstechnica.com/gaming/2019/03/spyro-remaster-skips-subtitles-leaves-hard-of-hearing-gamers-in-the-cold/
War Child UK's Armistice fundraiser raised $380k in 2018,http://www.gamasutra.com/view/news/338490/War_Child_UKs_Armistice_fundraiser_raised_380k_in_2018.php
The 'equal pay and equal say' structure of the game dev studio KO_OP ,http://www.gamasutra.com/view/news/338495/The_equal_pay_and_equal_say_structure_of_the_game_dev_studio_KOOP.php
Don't Miss: Dealing with the scourge of burnout in game dev ,https://www.gamasutra.com/view/news/314419/The_Fire_Fades_Dealing_with_the_scourge_of_burnout_in_game_dev.php
EA says it failed in response to Sims influencer’s alleged sexual harassment,https://arstechnica.com/gaming/2019/03/ea-apologizes-for-slow-response-to-sims-influencers-alleged-sexual-harassment/
"EA apologises for delay in dealing with Sims community sexual predator: ""We are disappointed in how events have unfolded and we own our responsibility to that,"" says The Sims general manager",https://www.gamesindustry.biz/articles/2019-03-12-ea-apologises-for-delay-in-dealing-with-sims-community-sexual-predator
"Respawn has banned 355,000 in 'ongoing war' againstApex Legends cheaters ",http://www.gamasutra.com/view/news/338374/Respawn_has_banned_355000_in_ongoing_war_against_Apex_Legends_cheaters.php
"Respawn has banned over 355,000 Apex Legends cheaters since launch: ""We take cheating very seriously and care deeply about the health of Apex Legends for all players,"" says developer",https://www.gamesindustry.biz/articles/2019-03-11-apex-legends-has-banned-over-355-000-cheaters-in-a-monther
"MrBeast Drops Video Of Real Life, EA-Sponsored ‘Apex Legends’ Battle Starring 39 YouTubers Competing For $200,000",https://www.tubefilter.com/2019/03/13/mrbeast-ea-apex-legends-sponsorship-youtubers/
"App Annie: Tencent retains spot as top revenue-earning publisher for third year - NetEase takes second once more, Activision Blizzard rises to No. 3",https://www.gamesindustry.biz/articles/2019-03-12-app-annie-tencent-retains-spot-as-top-revenue-earning-publisher-for-third-year
NetEase and Tencent included in latest round of China game approvals ,http://www.gamasutra.com/view/news/338392/NetEase_and_Tencent_included_in_latest_round_of_China_game_approvals.php
Ninja reportedly earned $1m for promotion of Apex Legends: Top streamer Tyler Blevins one of the few paid for promotion of EA and Respawn's surprise release battle royale,https://www.gamesindustry.biz/articles/2019-03-13-ninja-reportedly-earned-USD1m-for-promotion-of-apex-legends
"Celebrities drop Fortnite dance lawsuits, but only temporarily ",http://www.gamasutra.com/view/news/338383/Celebrities_drop_Fortnite_dance_lawsuits_but_only_temporarily.php
Fortnite adjusts cross-platform play to separate out Switch and mobile users: Xbox One and PS4 players will be together by default with Switch and mobile in their own pool,https://www.gamesindustry.biz/articles/2019-03-13-fortnite-adjusts-cross-platform-play-to-separate-out-switch-and-mobile-users
‘The Carlton’ Dances Its Way Out of Copyright Protection,https://www.lexology.com/library/detail.aspx?g=1cb9ac67-397f-43f2-bd91-f483067c2037
