"NoW March 20, 2019",0
GAMES,0
Community management post-Christchurch massacre | Opinion: Veteran product manager James Kozanecki says the industry can no longer dismiss toxic behavior as harmless trolling,https://www.gamesindustry.biz/articles/2019-03-18-community-management-post-christchurch-massacre-opinion
The Culling: Origins' servers are being switched off in May ,http://www.gamasutra.com/view/news/338955/The_Culling_Origins_servers_are_being_switched_off_in_May.php
"'No console required': Google unveils streaming game platform, 'Stadia' ",http://www.gamasutra.com/view/news/338978/No_console_required_Google_unveils_streaming_game_platform_Stadia.php
"Google jumps into gaming with Google Stadia streaming service, coming “in 2019”",https://arstechnica.com/gaming/2019/03/google-jumps-into-gaming-with-google-stadia-streaming-service/
Google Reveals Stadia Streaming Console,https://ca.ign.com/videos/2019/03/19/google-reveals-stadia-streaming-console
Google unveils first details of Stadia streaming service,http://www.gamesindustry.biz/articles/2019-03-19-google-unveils-first-details-of-stadia-streaming-service
Google’s new Stadia streaming service will let you play video games without downloading them,https://www.seattletimes.com/business/googles-new-stadia-streaming-service-will-let-you-play-video-games-without-downloading-them/
"Hands on with Google Stadia: It works, but is that enough?: Playing Assassin's Creed on a Chromebook is neat but only part of the story.",https://arstechnica.com/gaming/2019/03/google-stadias-first-hands-on-demo-washes-some-key-details-down-the-stream/
Google Stadia supports the Xbox Adaptive Controller ,http://www.gamasutra.com/view/news/339075/Google_Stadia_supports_the_Xbox_Adaptive_Controller.php
"Google Is Better Positioned For Cloud Streaming Than Anyone, But Don't Expect The World Just Yet: Google isn't afraid to shut down projects when they don't work.",https://ca.ign.com/articles/2019/03/19/google-is-better-positioned-for-cloud-streaming-than-anyone-but-dont-expect-the-world-just-yet
'Care more about your streamers' advises Magic: The Gathering Arena dev ,http://www.gamasutra.com/view/news/338988/Care_more_about_your_streamers_advises_Magic_The_Gathering_Arena_dev.php
Google Made Chromecast Cool Again,https://gizmodo.com/google-made-chromecast-cool-again-1833415006
