"NoW March 20, 2019",0
Google’s New Cloud Gaming Platform ‘Stadia’ Comes With Major Features Built Specifically For YouTubers,https://tubefilter.us1.list-manage.com/track/click?u=f2851f4d2ca0bc9451d398851&id=67671edb06&e=45729ae7ce
"Google Stadia has promise, but GDC failed to address its biggest obstacles | Opinion: The GI team weighs in on bandwidth, business models, and the potential link between accessibility and diversity",https://www.gamesindustry.biz/articles/2019-03-20-roundtable-google-stadias-gdc-showing-failed-to-address-its-biggest-obstacles
"Stadia's biz dev director talks challenges, opportunities in new age of cloud games ",http://www.gamasutra.com/view/news/339048/Stadias_biz_dev_director_talks_challenges_opportunities_in_new_age_of_cloud_games.php
"Phil Harrison: Stadia starts an ""inevitable and one-way shift"" away from consoles: Google VP also addresses concerns about bandwidth caps and those cryptic game teases shown before the keynote",https://www.gamesindustry.biz/articles/2019-03-20-phil-harrison-stadia-starts-an-inevitable-and-one-way-shift-away-from-consoles
Opinion: Chez Stadia - Google's new cloud platform ,http://www.gamasutra.com/view/news/339063/Opinion_Chez_Stadia__Googles_new_cloud_platform.php
Snapchat Said to Launch Gaming Inside Its App,https://variety.com/2019/digital/news/snapchat-gaming-platform-partner-summit-1203164398/
Snapchat Will Reportedly Launch An In-App Gaming Platform Next Month,https://tubefilter.us1.list-manage.com/track/click?u=f2851f4d2ca0bc9451d398851&id=3d8899b162&e=45729ae7ce
Snapchat to unveil gaming platform next month - Report,http://www.gamesindustry.biz/articles/2019-03-20-snapchat-to-unveil-gaming-platform-next-month-report
Report: Snapchat's rumored game platform to be announced in April ,http://www.gamasutra.com/view/news/338954/Report_Snapchats_rumored_game_platform_to_be_announced_in_April.php
Axiom Verge getting its physical Wii U release after ongoing legal battle ,http://www.gamasutra.com/view/news/338814/Axiom_Verge_getting_its_physical_Wii_U_release_after_ongoing_legal_battle.php
"The high cost of a Wii U retail release: Limited Run Games and BadLand Publishing give their sides of the falling out over a Wii U physical version of Axiom Verge, and why it's finally launching",https://www.gamesindustry.biz/articles/2019-03-15-the-high-cost-of-a-wii-u-retail-release
"Axiom Verge producer files suit against BadLand Publishing for $200k: Dan Adelman alleges publisher hasn't paid share of European distribution earnings, flaked on promise of healthcare fund for developer's ill son",https://www.gamesindustry.biz/articles/2019-03-15-axiom-verge-producer-files-suit-against-badland-publishing-for-usd200k
"Four Indian cities ban PUBG Mobile: Battle royale game suspected of triggering violent behaviour, police have already arrested players",https://www.gamesindustry.biz/articles/2019-03-15-four-indian-cities-ban-pubg-mobile
Mukti: Acknowledging the grim reality of human trafficking in India - UnderDogs founder and CEO Vaibhav Chavan discusses his hope to raise awareness of a growing problem,https://www.gamesindustry.biz/articles/2019-03-14-mukti-acknowledging-the-grim-reality-of-human-trafficking-in-india
"Loot boxes aren't the problem but how we use them is, says legal expert: “The key is how we use these mechanics, not whether we use them,” says Will Bucher",https://www.gamesindustry.biz/articles/2019-03-20-loot-boxes-arent-the-problem-but-how-we-use-them-is-says-legal-expert
Epic says its Game Store is not spying on you,https://arstechnica.com/gaming/2019/03/epic-says-its-game-store-is-not-spying-on-you/
Epic's Tim Sweeney addressees privacy concerns for the Epic Games Store ,http://www.gamasutra.com/view/news/338813/Epics_Tim_Sweeney_addressees_privacy_concerns_for_the_Epic_Games_Store.php
"Julian Gollop defends Epic Games Store exclusivity for Phoenix Point: Developer assures that refunds will be offered to those who don't want to use Epic, or Steam keys if they wait a year",https://www.gamesindustry.biz/articles/2019-03-15-julian-gollop-defends-epic-games-store-exclusivity-for-phoenix-point
"Epic Games Store roadmap outlines cloud saves, achievements, user reviews ",http://www.gamasutra.com/view/news/338818/Epic_Games_Store_roadmap_outlines_cloud_saves_achievements_user_reviews.php
Epic responds to accusations of Steam data mining: Sweeney says issue stems from “our rush to implement social features in the early days of Fortnite”,https://www.gamesindustry.biz/articles/2019-03-15-epic-responds-to-accusations-of-steam-data-mining
"Epic offers support for third-party key sales -- but not for exclusives: Tim Sweeney reveals Epic Game Store roadmap, but concedes it will have to compete on games to compensate for lack of features",https://www.gamesindustry.biz/articles/2019-03-18-epic-offers-support-for-third-party-key-sales-but-not-for-exclusives
Devs can now sell Epic Game Store keys on the Humble Store  ,0
"Epic Games announces $100m MegaGrants program, launches free Online Services tools",https://www.gamesindustry.biz/articles/2019-03-20-epic-games-announces-usd100m-megagrants-program-launches-free-online-services-tools
Epic expands its dev grants program with $100M in Epic MegaGrants ,http://www.gamasutra.com/view/news/339049/Epic_expands_its_dev_grants_program_with_100M_in_Epic_MegaGrants.php
"Quantic Dream, Ubisoft lead next wave of Epic Games Store exclusives",https://arstechnica.com/gaming/2019/03/quantic-dream-ubisoft-lead-next-wave-of-epic-games-store-exclusives/
"Remedy, Quantic Dream, and other devs sign on for Epic Games Store exclusives ",http://www.gamasutra.com/view/news/339050/Remedy_Quantic_Dream_and_other_devs_sign_on_for_Epic_Games_Store_exclusives.php
Google unveils first-party game studio led by Jade Raymond ,http://www.gamasutra.com/view/news/338980/Google_unveils_firstparty_game_studio_led_by_Jade_Raymond.php
Epic CEO: “You’re going to see lower prices” on Epic Games Store,https://arstechnica.com/gaming/2019/03/epic-ceo-youre-going-to-see-lower-prices-on-epic-games-store/
“Energizing Times”: Microsoft to “go big” at E3 in response to Google Stadia,https://arstechnica.com/gaming/2019/03/in-wake-of-googles-stadia-reveal-microsofts-phil-spencer-promises-to-go-big-at-e3/
Games for Change debuts new accelerator program for 'social impact' games ,http://www.gamasutra.com/view/news/338968/Games_for_Change_debuts_new_accelerator_program_for_social_impact_games.php
Carlos Santana Smashed A TV With A Bat Because The Phillies Were Playing Fortnite During Games,https://deadspin.com/carlos-santana-smashed-a-tv-with-a-bat-because-the-phil-1833372419
Kicking off the streaming wars | Opinion: GDC 2019: Industry giants have decided that the medium's future lies in streaming - but success is far from assured even for enormous players like Google and Amazon,https://www.gamesindustry.biz/articles/2019-03-15-kicking-off-the-streaming-wars-opinion_1
Steam Link Anywhere beta drops Steam Link's local-wifi-only restriction ,http://www.gamasutra.com/view/news/338697/Steam_Link_Anywhere_beta_drops_Steam_Links_localwifionly_restriction.php
"Any Steam game can now use Valve’s low-latency, DoS-proofed networking",https://arstechnica.com/gaming/2019/03/valve-brings-dota-2em-s-dos-protected-low-latency-networking-to-all-steam-devs/
Steam Link Anywhere lets you take your PC gaming with you,https://arstechnica.com/gaming/2019/03/valve-takes-in-home-streaming-out-of-the-home-with-steam-link-anywhere/
Steam devs can now use the networking APIs created forCS:GO and Dota 2 ,http://www.gamasutra.com/view/news/338713/Steam_devs_can_now_use_the_networking_APIs_created_for_CSGO_and_Dota_2.php
"Steam removes ""off-topic review bombs"" from overall game review scores",http://www.gamesindustry.biz/articles/2019-03-15-steam-removes-off-topic-review-bombs-from-overall-game-review-scores
Steam user reviews will no longer count 'off-topic review bombs' ,http://www.gamasutra.com/view/news/338816/Steam_user_reviews_will_no_longer_count_offtopic_review_bombs.php
Microsoft is bringing Xbox Live to iOS and Android ,http://www.gamasutra.com/view/news/338695/Microsoft_is_bringing_Xbox_Live_to_iOS_and_Android.php
"Xbox Live is coming to iOS and Android, but not Switch (yet) - GDC 2019: Microsoft reveals new cloud services and packages for games studios",https://www.gamesindustry.biz/articles/2019-03-14-xbox-live-is-coming-to-ios-and-android-but-not-switch-yet
Cuphead is heading to the Nintendo Switch with Xbox Live support ,http://www.gamasutra.com/view/news/339065/Cuphead_is_heading_to_the_Nintendo_Switch_with_Xbox_Live_support.php
Cuphead will bring Xbox Live to Switch: Microsoft plans to add features from its online service to Nintendo's platform with a post-launch update to StudioMDHR game,https://www.gamesindustry.biz/articles/2019-03-20-cuphead-will-bring-xbox-live-to-switch
Minecraft is joining Microsoft's Xbox Game Pass lineup ,http://www.gamasutra.com/view/news/338704/Minecraft_is_joining_Microsofts_Xbox_Game_Pass_lineup.php
Pokemon Go's PvP was designed to appeal to players new and old--and it worked ,http://www.gamasutra.com/view/news/338986/Pokemon_Gos_PvP_was_designed_to_appeal_to_players_new_and_oldand_it_worked.php
"Facebook launching new Gaming Tab: Update will make all gaming content accessible from main navigation, serve as new hub for streaming",https://www.gamesindustry.biz/articles/2019-03-14-facebook-announces-new-gaming-tab
Nvidia moves toward global rollout for GeForce Now cloud platform,http://www.gamesindustry.biz/articles/2019-03-19-nvidia-moves-toward-global-rollout-for-geforce-now-cloud-platform
"Unity unveils new ties to Nvidia RTX pipeline, takes shots at Unreal",https://arstechnica.com/gaming/2019/03/unity-unveils-new-ties-to-nvidia-rtx-pipeline-takes-shots-at-unreal/
Epic lays plans for Unreal Engine ray tracing and physics revamps ,http://www.gamasutra.com/view/news/339003/Epic_lays_plans_for_Unreal_Engine_ray_tracing_and_physics_revamps.php
Unity and Nvidia partner to launch real-time raytracing tech ,http://www.gamasutra.com/view/news/338907/Unity_and_Nvidia_partner_to_launch_realtime_raytracing_tech.php
Unity partners with Havok to roll out new physics systems ,http://www.gamasutra.com/view/news/338719/Unity_partners_with_Havok_to_roll_out_new_physics_systems.php
"Unity partners with Tencent for China, cloud gaming services",https://www.gamesindustry.biz/articles/2019-03-19-unity-partners-with-tencent-for-chinese-cloud-gaming-services
Unity partnering with Tencent to help its devs make waves in China ,http://www.gamasutra.com/view/news/338965/Unity_partnering_with_Tencent_to_help_its_devs_make_waves_in_China.php
Tencent shares reach six month high after difficult 2018,https://www.gamesindustry.biz/articles/2019-03-13-tencent-shares-reach-six-month-high-after-difficult-2018
Tencent Music financials reveal revenues grew by 72.9% in 2018,https://musically.com/2019/03/20/tencent-music-financials-reveal-revenues-grew-by-72-9-in-2018/
Devs share an inside look at Armello's games-as-a-service success ,http://www.gamasutra.com/view/news/338906/Devs_share_an_inside_look_at_Armellos_gamesasaservice_success.php
How indie devs can form their own worker cooperative,http://www.gamasutra.com/view/news/338987/How_indie_devs_can_form_their_own_worker_cooperative.php
3 indie leaders share tips on keeping your small studio afloat without a hit,http://www.gamasutra.com/view/news/338997/3_indie_leaders_share_tips_on_keeping_your_small_studio_afloat_without_a_hit.php
"Call of Duty Mobile announced for iOS, Android, made by China’s Tencent",https://arstechnica.com/gaming/2019/03/call-of-duty-mobile-announced-for-ios-android-made-by-chinas-tencent/
"Call of Duty: Mobile will launch outside of China: Activision and Tencent unveil free-to-play title, confirm launch in North America, South America and Europe",https://www.gamesindustry.biz/articles/2019-03-19-call-of-duty-mobile-will-launch-outside-of-china
The next Zelda game on Switch is an indie mash-up with Crypt of the Necrodancer,https://arstechnica.com/gaming/2019/03/cadence-of-hyrule-a-zelda-necrodancer-mash-up-on-switch-this-spring/
"Suda51: Grasshopper team ""stronger"" for Travis Strikes Again experience - Grasshopper's CEO may use the experience for a full sequel to the divisive Switch spin-off",https://www.gamesindustry.biz/articles/2019-03-18-suda51-grasshopper-team-stronger-for-travis-strikes-again-experience
"Unknown Nintendo Game Gets Digitized With Museum's Help, Showing The Importance Of Copyright Exceptions",https://www.techdirt.com/articles/20190312/10424341781/unknown-nintendo-game-gets-digitized-with-museums-help-showing-importance-copyright-exceptions.shtml
"UK Charts: Slow start for The Division 2: However, Ubisoft's new action game makes No.1",https://www.gamesindustry.biz/articles/2019-03-18-uk-charts-slow-start-for-the-division-2
"Atari VCS console delayed following spec boost: Console will now be cooler and quieter, the manufacturer states",https://www.gamesindustry.biz/articles/2019-03-19-atari-vcs-console-delayed-following-spec-boost
Discord evolves verified servers with new community tools,http://www.gamasutra.com/view/news/338657/Discord_evolves_verified_servers_with_new_community_tools.php
When and what to culturalize?: Netmarble US president Simon Sim lays out the Marvel Future Fight company's approach to adapting games and monetization for new markets,https://www.gamesindustry.biz/articles/2019-03-18-when-and-what-to-culturalize
Update: Lucasfilm Games job postings apparently not linked to studio revival ,http://www.gamasutra.com/view/news/339030/Update_Lucasfilm_Games_job_postings_apparently_not_linked_to_studio_revival.php
Chet Faliszek and Kimberly Voll form co-op game studio Stray Bombay ,http://www.gamasutra.com/view/news/338888/Chet_Faliszek_and_Kimberly_Voll_form_coop_game_studio_Stray_Bombay.php
Chet Faliszek and Kimberly Voll form Stray Bombay Company: Former Valve writer and Riot Games designer launch their own co-op focused development studio,https://www.gamesindustry.biz/articles/2019-03-18-chet-faliszek-and-kimberly-voll-form-stray-bombay-company
"Former Valve designer, writer dishes on his new “co-op” game studio - Joined by ex-Riot dev: ""Chet said one sentence. I said, 'Oh my god. That's the game.'""",https://arstechnica.com/gaming/2019/03/former-valve-designer-writer-dishes-on-his-new-co-op-game-studio/
Left 4 Dead’s developers are Back 4 Blood with new spiritual successor,https://arstechnica.com/gaming/2019/03/left-4-deads-developers-are-back-4-blood-with-new-spiritual-successor/
Harry Potter: Hogwarts Mystery grosses $110m in first year: Mobile RPG becomes most successful game from Jam City,https://www.gamesindustry.biz/articles/2019-03-14-harry-potter-hogwarts-mystery-grosses-usd110m-in-first-year
Netflix Getting Its First Capcom Anime Series,https://ca.ign.com/videos/2019/03/12/netflix-getting-its-first-capcom-anime-series
"Wargaming announces new IP in built with Amazon game tech: World of Tanks developers partners with Frag Lab on ""next generation"" free-to-play shooter",https://www.gamesindustry.biz/articles/2019-03-14-wargaming-announces-new-ip-in-built-with-amazon-game-tech
Mega Crit's Slay the Spire has sold 1.5m copies,http://www.gamesindustry.biz/articles/2019-03-20-megacrits-slay-the-spire-has-sold-1-5m-copies
A Letter To The Apex Legends Player I Probably Disappointed,https://kotaku.com/a-letter-to-the-apex-legends-player-i-probably-disappoi-1833435975
EA opens 'multi-million dollar' esports broadcast studio ,http://www.gamasutra.com/view/news/338800/EA_opens_multimillion_dollar_esports_broadcast_studio.php
"EA builds its own esports broadcast studio: New facility ""signals EA's commitment to competitive gaming for years to come,"" will host tournaments, esports-focused shows",https://www.gamesindustry.biz/articles/2019-03-15-ea-builds-its-own-esports-broadcast-studio
NPD: Anthem was the best-selling game in February,http://www.gamesindustry.biz/articles/2019-03-20-npd-anthem-was-the-best-selling-game-of-february
EA: People want inclusive games with friendlier communities,http://www.gamesindustry.biz/articles/2019-03-19-ea-people-want-inclusive-games-with-friendlier-communities
"Team spaces in Call of Duty esports league reportedly cost $25m each: Preparations begin for franchised, city-based competition around Activision's flagship shooter",https://www.gamesindustry.biz/articles/2019-03-14-team-spaces-in-call-of-duty-esports-league-reportedly-cost-usd25m-each
The Simpsons Producers Worked With Riot Games On An Upcoming Esports Episode,https://kotaku.com/the-simpsons-producers-worked-with-riot-games-on-an-upc-1833340658
"5th Planet closes Nottingham studio: CEO says ""now is the time to take the consequences"" for underperforming games as it lays off 14 people",https://www.gamesindustry.biz/articles/2019-03-18-5th-planet-closes-nottingham-studio
Doodle Jump Space Chase dev's closure was third wave of layoffs since November: 5th Planet Games repeatedly slashed headcount at its Nottingham studio before shutting it down outright,https://www.gamesindustry.biz/articles/2019-03-19-doodle-jump-space-chase-devs-closure-was-third-wave-of-layoffs-since-november
“We need to move away from short-form VR experiences”: NDreams' VP of development Tom Gillo discusses the company's plans to become a AAA VR developer,https://www.gamesindustry.biz/articles/2019-03-18-we-need-to-move-away-from-short-form-vr-experiences
‘Beat Saber’ Sells Over One Million Copies,https://www.roadtovr.com/beat-saber-sells-one-million-copies/
Beat Saber has crossed 1 million sales in under a year ,http://www.gamasutra.com/view/news/338786/Beat_Saber_has_crossed_1_million_sales_in_under_a_year.php
"Beat Saber sells over 1m copies: Milestone was reached in February across PSVR, Steam, and Oculus Home",https://www.gamesindustry.biz/articles/2019-03-15-beat-saber-sells-over-one-million-copies
"Oculus Quest’s powerful, portable VR, as proven by the fun of Beat Saber",https://arstechnica.com/gaming/2019/03/oculus-quests-powerful-portable-vr-as-proven-by-the-fun-of-beat-saber/
The Oculus Rift S is a new PC VR headset with built-in tracking ,http://www.gamasutra.com/view/news/339041/The_Oculus_Rift_S_is_a_new_PC_VR_headset_with_builtin_tracking.php
"Hands-on with the new $399 Oculus Rift S: More pixels, zero webcams, better fit",https://arstechnica.com/gaming/2019/03/hands-on-with-the-new-399-oculus-rift-s-more-pixels-zero-cameras-better-fit/
"Rohrer: Make fewer consumable games, more 'unique situation generators' ",http://www.gamasutra.com/view/news/338910/Rohrer_Make_fewer_consumable_games_more_unique_situation_generators.php
The U.S. Army is building a giant VR battlefield to train soldiers virtually,https://www.digitaltrends.com/cool-tech/synthetic-training-environment-vr-training/
"Corporations, not consumers, drive demand for HP’s new VR headset",https://arstechnica.com/gadgets/2019/03/hp-goes-pro-with-its-newest-vr-headset/
God of War leads BAFTA Games Award nominations ,http://www.gamasutra.com/view/news/338676/God_of_War_leads_BAFTA_Games_Award_nominations.php
"God of War leads BAFTA nominations: Sony's epic in the running for 10 prizes, while Red Dead Redemption 2, Florence and Return of the Obra Dinn are up for six",https://www.gamesindustry.biz/articles/2019-03-14-god-of-war-leads-bafta-nominations
"Blind Squirrel lands $5M in funding to self-publish its first game, Drifters ",http://www.gamasutra.com/view/news/338721/Blind_Squirrel_lands_5M_in_funding_to_selfpublish_its_first_game_Drifters.php
Shadow Warrior developer Flying Wild Hog acquired by Supernova ,http://www.gamasutra.com/view/news/338785/Shadow_Warrior_developer_Flying_Wild_Hog_acquired_by_Supernova.php
Bomber Crew dev Runner Deck acquired by Catalis ,http://www.gamasutra.com/view/news/338807/Bomber_Crew_dev_Runner_Deck_acquired_by_Catalis.php
Double Eleven acquires VooFoo Studios: UK developer and publisher adds Mantis Burn Racing studio for undisclosed fee,https://www.gamesindustry.biz/articles/2019-03-18-double-eleven-acquires-voofoo-studios
Turtle Beach acquires PC peripherals company Roccat,https://www.gamesindustry.biz/articles/2019-03-15-turtle-beach-acquires-pc-peripherals-company-roccat
"Asteri acquires Prima Games: Strategy guide brand leaves behind physical releases, looks to help developers gather player feedback on unfinished titles",https://www.gamesindustry.biz/articles/2019-03-14-asteri-acquires-prima-games
UK games retail: Prices continue to rise as supermarket power wanes,http://www.gamesindustry.biz/articles/2019-03-19-uk-games-retail-prices-continue-to-rise-as-supermarket-power-wanes
Blog: Engaging players through ritual ,http://www.gamasutra.com/blogs/BrandonFranklin/20190314/338594/Engaging_Players_Through_Ritual.php
Wargroove dev demystifies game development by involving its community ,http://www.gamasutra.com/view/news/338725/Wargroove_dev_demystifies_game_development_by_involving_its_community.php
Video: Unpopular opinion: All narrative is linear ,http://www.gamasutra.com/view/news/338819/Video_Unpopular_opinion_All_narrative_is_linear.php
How Neopets has influenced a generation of game developers ,http://gamasutra.com/view/news/324436/How_Neopets_has_influenced_a_generation_of_game_developers.php
Games for Change Accelerator to offer funding and support for social impact games,http://www.gamesindustry.biz/articles/2019-03-19-games-for-change-accelerator-to-offer-funding-and-support-for-social-impact-games
Blockchain Games and Collectibles - Patents and Other Legal Issues ,https://www.lexology.com/library/detail.aspx?g=c1260579-0256-494f-b382-157efb81f557
"U.S. Patent No. 7,628,688: Game apparatus, game control method, recording medium and program ",https://www.lexology.com/library/detail.aspx?g=ed5a24c9-c32c-442b-b1fd-2e77946054d8
Former EA and THQ exec Danny Bilson to helm USC Games program ,http://www.gamasutra.com/view/news/338891/Former_EA_and_THQ_exec_Danny_Bilson_to_helm_USC_Games_program.php
Return of the Obra Dinn takes Grand Prize at the 21st IGF Awards! ,http://www.gamasutra.com/view/news/339066/Return_of_the_Obra_Dinn_takes_Grand_Prize_at_the_21st_IGF_Awards.php
God of War wins Game of the Year at the 2019 Game Developers Choice Awards ,http://www.gamasutra.com/view/news/339067/God_of_War_wins_Game_of_the_Year_at_the_2019_Game_Developers_Choice_Awards.php
DIGITAL,0
Supreme Court rules key part of law against child-luring via internet is unconstitutional,https://www.theglobeandmail.com/canada/article-supreme-court-rules-key-part-of-law-against-child-luring-via-internet/
Canada Supreme Court Rules That Privacy is Not An “All-or-Nothing Concept”,https://www.lexology.com/library/detail.aspx?g=61ce41b5-4273-430b-906d-9a6365bfc7bb
R. v. Morrison (2019 SCC 15),https://scc-csc.lexum.com/scc-csc/scc-csc/en/item/17618/index.do
49 Dead and Dozens Wounded in New Zealand Terror Attacks That Were Livestreamed on Facebook,https://gizmodo.com/49-dead-and-dozens-wounded-in-new-zealand-terror-attack-1833314365
Facebook: No one reported NZ shooting video during 17-minute livestream,https://arstechnica.com/tech-policy/2019/03/facebook-no-one-reported-nz-shooting-video-during-17-minute-livestream/
The New Zealand Massacre Was Made to Go Viral: The attack marks a grim new age of social media-fueled terrorism.,https://www.nytimes.com/2019/03/15/opinion/new-zealand-shooting.html
Social media sites struggle to contain video of New Zealand shooting,https://arstechnica.com/tech-policy/2019/03/social-media-sites-struggle-to-contain-video-of-new-zealand-shooting/
One Video Of The Christchurch Massacre Was Uploaded To YouTube Every Second,https://www.tubefilter.com/2019/03/18/youtube-christchurch-footage-one-video-per-second-newsworthy-search-results/
New Zealand ISPs Say They're Blocking Sites That Fail to Remove Christchurch Shooting Video,https://gizmodo.com/new-zealand-isps-say-theyre-blocking-sites-that-fail-to-1833373437
"NZ declares massacre video “objectionable,” arrests people who shared it",https://arstechnica.com/tech-policy/2019/03/new-zealand-men-could-get-14-years-for-sharing-massacre-video/
"4chan, 8chan blocked by Australian and NZ ISPs for hosting shooting video",https://arstechnica.com/tech-policy/2019/03/australian-and-nz-isps-blocked-dozens-of-sites-that-host-nz-shooting-video/
"If You Think Big Internet Companies Are Somehow To Blame For The New Zealand Massacre, You're Wrong",https://www.techdirt.com/articles/20190317/18200841813/if-you-think-big-internet-companies-are-somehow-to-blame-new-zealand-massacre-youre-wrong.shtml
Americans Built Tech for China’s Sinister “Re-Education Camps”: MIT and Yale - and possibly Microsoft - are helping build China's surveillance state.,https://www.futurism.com/americans-developed-tech-china-reeducation-camps/
"Vladimir Putin signs sweeping Internet-censorship bills: Publishing ""unreliable socially significant information"" can lead to big fines.",https://arstechnica.com/tech-policy/2019/03/russia-makes-it-illegal-to-insult-officials-or-publish-fake-news/
"Terrified Of The Internet, Putin Signs Laws Making It Illegal To Criticize Government Leaders Online",https://www.techdirt.com/articles/20190319/07324341822/terrified-internet-putin-signs-laws-making-it-illegal-to-criticize-government-leaders-online.shtml
Court Dismissed Lawsuit Brought Against Social Media Companies Alleging An Anti-Conservative Conspiracy,https://www.techdirt.com/articles/20190316/13393641805/court-dismissed-lawsuit-brought-against-social-media-companies-alleging-anti-conservative-conspiracy.shtml
"People Call On YouTube, Facebook, Twitter To More Stringently Monitor Hate Content Following Christchurch Shooting",https://www.tubefilter.com/2019/03/15/youtube-facebook-twitter-christchurch-shooting/
Using Networks To Govern Network Problems,https://www.techdirt.com/articles/20190318/22191141819/using-networks-to-govern-network-problems.shtml
FTC Takes Hard Line On Fake Paid Reviews,https://www.lexology.com/library/detail.aspx?g=06d74786-71d3-4fb4-bef1-b3655fcecb61
YouTube Creators Are Trying To Move On From ‘Subscribe To Pewdiepie’,https://www.theverge.com/2019/3/19/18270905/subscribe-to-pewdiepie-youtube-new-zealand-attack-meme
Arizona Woman Who Ran Popular Kids’ YouTube Channel Arrested On 7 Counts Of Child Abuse,https://www.tubefilter.com/2019/03/20/arizona-woman-youtube-channel-child-abuse/
"YouTuber Adam22 Held At Gunpoint While Livestreaming, Suspect In Custody",https://www.tubefilter.com/2019/03/18/youtuber-adam22-no-jumper-robbery-gunpoint-david-tran/
"YouTube Tattooist Romeo Lacoste On Inappropriate Messages To Young Fans: “Some Are Real, And Some Are Fabricated”",https://www.tubefilter.com/2019/03/18/romeo-lacoste-inappropriate-messages-underage-fans/
"After YouTube Disables Comments On ‘Special Books By Special Kids’ Organization’s Channel, Founders Say It’s Discrimination",https://www.tubefilter.com/2019/03/14/youtube-special-books-special-kids-comments-disabled/
YouTube Will Require Content Owners To Give Timestamps When They Copyright Claim A Video,https://www.tubefilter.com/2019/03/20/youtube-manual-content-claiming-content-id-timestamps/
Blackpink are first K-Pop artist with 20m YouTube subscribers,https://musically.com/2019/03/20/blackpink-are-first-k-pop-artist-with-20m-youtube-subscribers/
YouTube creators are using a hilarious tactic to combat copyright policies,https://www.theverge.com/2019/3/17/18265484/tiktok-youtube-danny-gonzalez-kurtis-conner-react-commentary
Axel Voss Says Maybe YouTube Shouldn't Exist,https://www.techdirt.com/articles/20190313/10080141792/axel-voss-says-maybe-youtube-shouldnt-exist.shtml
Sephora Severs Product Partnership With YouTuber Olivia Jade In Wake Of College Bribery Scandal,https://www.tubefilter.com/2019/03/14/sephora-olivia-jade-varsity-blues-scandal/
"Lilly Singh Lands Late-Night TV Slot On NBC, Will Host ‘A Little Late With Lilly Singh’",https://www.tubefilter.com/2019/03/15/lilly-singh-lands-late-night-tv-slot-on-nbc-will-host-a-little-late-with-lilly-singh/
"Disney now owns 21st Century Fox, X-Men, and most of Hulu",https://www.theverge.com/2019/3/20/18273142/disney-fox-acquistion-final-hulu-marvel-streaming-21st-century
"LSO bencher candidates leverage Twitter to promote platform, engage readers",https://canadianlawyermag.com/legalfeeds/author/alexia-kapralos/lso-bencher-candidates-leverage-twitter-to-promote-platform-engage-readers-17003/
"Devin Nunes’ ludicrous $250 million lawsuit against Twitter, explained",https://arstechnica.com/tech-policy/2019/03/devin-nunes-ludicrous-250-million-lawsuit-against-twitter-explained/
“He’s literally suing an imaginary cow”: Late-night hosts mock Nunes,https://arstechnica.com/tech-policy/2019/03/devin-nunes-sued-devincow-now-the-cow-has-more-twitter-followers-than-he-does/
Rep. Devin Nunes Sues Internet Cow For Saying Mean Things About Him Online,https://www.techdirt.com/articles/20190319/10212841825/rep-devin-nunes-sues-internet-cow-saying-mean-things-about-him-online.shtml
@DevinCow Now Has More Twitter Followers Than Devin Nunes,https://www.techdirt.com/articles/20190320/10080141834/devincow-now-has-more-twitter-followers-than-devin-nunes.shtml
"302comments with 109 posters participating, including story author",https://arstechnica.com/tech-policy/2019/03/devin-nunes-sued-devincow-now-the-cow-has-more-twitter-followers-than-he-does/?comments=1
