"NoW February 6, 2019",,0
GAMES,,0
Senator Pushes FTC Head for Loot Box Investigation Timeline,,https://variety.com/2019/gaming/news/loot-box-investigation-ftc-timeline-1203125164/
Lootboxes and Skin Gambling in Swiss Gambling Law,,https://www.lexology.com/library/detail.aspx?g=c880c635-0c1c-4ffc-80ae-fe88b3c5667c
Second YouTuber complains of DMCA abuse from Escape From Tarkov developer: Battlestate Games accused of misusing copyright takedown notices to silence “negative hype”,,https://www.gamesindustry.biz/articles/2019-01-31-second-youtuber-complains-of-dmca-abuse-from-escape-from-tarkov-developer
Ubisoft apologizes for The Division 2 email promising 'a real government shutdown',,https://www.pcgamer.com/ubisoft-apologizes-for-the-division-2-email-promising-a-real-government-shutdown/
Twitch Streamer And Game Studio Employee Arrested In Child Sex Sting,,https://kotaku.com/twitch-streamer-and-game-studio-employee-arrested-in-ch-1832359911
"Parents increasingly worried about kids spending in games - Study: UK regulator finds 39% of parents with 5-15-year-olds concerned about pressure to purchase, 17% of kids 12-15 have accidentally spent money online",,https://www.gamesindustry.biz/articles/2019-01-31-parents-increasingly-worried-about-kids-spending-in-games-study
Pennsylvania legislators want to slap a tax on mature games ,,http://www.gamasutra.com/view/news/336072/Pennsylvania_legislators_want_to_slap_a_tax_on_mature_games.php
Failure to Launch: Not Identifying the Proper Parties Can Prematurely End an Video Game IPR Challenge ,,https://www.lexology.com/library/detail.aspx?g=96cbfe1e-cc9e-4175-b614-78f5d1168fc2
CD Projekt agreed to pay The Witcher author additional royalties ,,http://www.gamasutra.com/view/news/335971/CD_Projekt_agreed_to_pay_The_Witcher_author_additional_royalties.php
"Take-Two hires games veteran Michael Condrey to form new, diverse studio: Dead Space and Call of Duty leader plans to open new outfit in Silicon Valley",,https://www.gamesindustry.biz/articles/2019-02-04-take-two-hires-games-veteran-michael-condrey-to-form-new-diverse-studio
Take-Two raises fiscal outlook as recurrent spending experiences record growth ,,http://www.gamasutra.com/view/news/336084/TakeTwo_raises_fiscal_outlook_as_recurrent_spending_experiences_record_growth.php
The history of how Pac-Man encouraged women to pursue game dev ,,http://www.gamasutra.com/view/news/336001/The_history_of_how_PacMan_encouraged_women_to_pursue_game_dev.php
Fair Play Alliance expands Fair Play Summit for GDC 2019,,http://www.gamasutra.com/view/news/335997/Fair_Play_Alliance_expands_Fair_Play_Summit_for_GDC_2019.php
"""Isolation for all of us is corrosive"" - The power of addressing social issues in games: Fullbright co-founder Steve Gaynor on making games about people rather than policy",,https://www.gamesindustry.biz/articles/2019-02-04-isolation-for-all-of-us-is-corrosive-the-importance-of-addressing-social-issues-in-games
Blog: How player choice can backfire ,,http://www.gamasutra.com/blogs/JoshBycer/20190131/335580/How_Player_Choice_Can_Backfire.php
What drives retention?: A look at the mechanics that keep players playing ,,http://www.gamasutra.com/blogs/RaphKoster/20190131/335683/What_Drives_Retention.php
GDC Speaker Q&A: Cherry Thompson explores disabled representation in games ,,http://www.gamasutra.com/view/news/335901/GDC_Speaker_QA_Cherry_Thompson_explores_disabled_representation_in_games.php
Monster Hunter helps Capcom to record third quarter profits ,,http://www.gamasutra.com/view/news/335853/Monster_Hunter_helps_Capcom_to_record_third_quarter_profits.php
Capcom posts record profits in latest financials: Success driven by strong performance of core titles like Monster Hunter: World which broke 11 million sales,,https://www.gamesindustry.biz/articles/2019-02-04-capcom-posts-record-profits-in-latest-financials
"Capcom tops Metacritic publisher rankings for 2018: Activision Blizzard highest-rated ""mid-sized"" publisher, followed by Paradox and 505 Games",,https://www.gamesindustry.biz/articles/2019-01-31-capcom-tops-metacritic-publisher-rankings-for-2018
4A Games embroiled in controversy over Metro Exodus' Epic Games Store exclusivity: Koch Media/Deep Silver once again stresses it is responsible for the decision after studio employee threatens no future PC games,,https://www.gamesindustry.biz/articles/2019-02-04-4a-games-embroiled-in-controversy-over-metro-exodus-epic-games-store-exclusivity
"Epic vs Steam: Exclusives raise the stakes | Opinion - Epic is Steam's first real competitor in years - with console-war style exclusive tactics being a controversial, but fair, escalation of the struggle",,https://www.gamesindustry.biz/articles/2019-02-01-epic-vs-steam-exclusives-raise-the-stakes
Blog: How are the Steam algorithm changes affecting indies? ,,http://www.gamasutra.com/blogs/ErikJohnson/20190129/335035/The_State_of_the_Algorithm_Whats_Happening_to_Indies_on_Steam.php
Achievements and support are opt-in features on the Epic Games Store ,,http://www.gamasutra.com/view/news/335885/Achievements_and_support_are_optin_features_on_the_Epic_Games_Store.php
Opt-in review system in the works for Epic Games Store: Developers will be able to decide whether they want to allow consumers to leave reviews on their games,,https://www.gamesindustry.biz/articles/2019-02-01-opt-in-review-system-in-the-works-for-epic-games-store
"Early teens gaming online more – Study: 75% of gamers aged 5-15 have played online, up from 66% last year; girls play online less than boys, particularly as they get older",,https://www.gamesindustry.biz/articles/2019-01-31-early-teens-gaming-online-more-study
What drives retention?: A look at the mechanics that keep players playing ,,http://www.gamasutra.com/blogs/RaphKoster/20190131/335683/What_Drives_Retention.php
Gaming innovators must ensure their intellectual property is protected,,https://www.lexology.com/library/detail.aspx?g=07bcd446-fd79-4ac5-af5b-695d978e12d1
Kingdom Hearts III conquers UK charts with impressive debut week: Resident Evil 2 slips to No.2,,https://www.gamesindustry.biz/articles/2019-02-03-kingdom-hearts-iii-conquers-uk-charts-with-impressive-debut-week
"Kingdom Hearts III sells more than 600,000 copies in Japan at launch: Square Enix's RPG Disney mash-up more than doubled debut sales of Resident Evil 2 remake",,https://www.gamesindustry.biz/articles/2019-02-01-kingdom-hearts-sells-more-than-600-000-copies-in-japan-at-launch
"Disney says its future video game efforts lie in licensing, not publishing ",,http://www.gamasutra.com/view/news/336105/Disney_says_its_future_video_game_efforts_lie_in_licensing_not_publishing.php
Kingdom Hearts 3 ships 5 million copies a week after launch ,,http://www.gamasutra.com/view/news/335998/Kingdom_Hearts_3_ships_5_million_copies_a_week_after_launch.php
"Kingdom Hearts III: Critical Consensus - Reviewers praise the scope and magic of this long-awaited entry, but warn it's no picnic for newcomers",,https://www.gamesindustry.biz/articles/2019-02-04-kingdom-hearts-iii-critical-consensus
Nintendo lowers full-year hardware forecast for Switch ,,0
"Nintendo trims Switch target as net sales near $10 billion for fiscal year: Platform holder celebrates record-breaking success of Smash Bros and Pokémon, delays Mario Kart Tour",,https://www.gamesindustry.biz/articles/2019-01-31-nintendo-trims-switch-target-as-net-sales-near-usd10-billion-for-fiscal-year
Lifetime Switch sales have surpassed 32 million units ,,http://www.gamasutra.com/view/news/335655/Lifetime_Switch_sales_have_surpassed_32_million_units.php
Putting Switch’s 32 million shipments in context,,https://arstechnica.com/gaming/2019/01/putting-switchs-32-million-shipments-in-context/
"Report: Nintendo eyeing a smaller, more portable Switch for release this year ",,http://www.gamasutra.com/view/news/335696/Report_Nintendo_eyeing_a_smaller_more_portable_Switch_for_release_this_year.php
"Nintendo’s next Switch model will reportedly shrink the size, cost, features",,https://arstechnica.com/gaming/2019/01/nintendos-next-switch-model-will-reportedly-shrink-the-size-cost-features/
Super Smash Bros. Ultimate sold over 12 million copies in December ,,http://www.gamasutra.com/view/news/335699/Super_Smash_Bros_Ultimate_sold_over_12_million_copies_in_December.php
"Smash Bros Ultimate is the fastest selling console game in Nintendo's history: In Japan, the new Smash Bros outpaced the lifetime sales of any previous title in four weeks",,https://www.gamesindustry.biz/articles/2019-02-01-super-smash-bros-ultimate-is-the-fastest-selling-home-console-game-in-nintendos-history
"Mobile game based on Dr. Mario due to launch this summer: Dr. Mario World will be co-developed with LINE, Mario Kart Tour delayed to improve quality",,https://www.gamesindustry.biz/articles/2019-02-01-nintendo-is-working-with-line-on-dr-mario-mobile-title
Nintendo will bring Dr. Mario to smartphones this summer,,http://www.gamasutra.com/view/news/335768/Nintendo_will_bring_Dr_Mario_to_smartphones_this_summer.php
"Nintendo bringing Dr. Mario to iOS, Android this summer",,https://arstechnica.com/gaming/2019/02/nintendo-bringing-dr-mario-to-ios-android-this-summer/
Nintendo delays Mario Kart Tour mobile game to ramp up quality ,,http://www.gamasutra.com/view/news/335666/Nintendo_delays_Mario_Kart_Tour_mobile_game_to_ramp_up_quality.php
The 3DS Is Even Dying Better Than The Vita,,https://kotaku.com/the-3ds-is-even-dying-better-than-the-vita-1832395229
"Nintendo to open first official retail store in Japan: Located in Shibuya, Nintendo Tokyo is the first store to be managed by Nintendo of Japan",,https://www.gamesindustry.biz/articles/2019-02-01-nintendo-to-open-first-official-retail-store-in-japan
EA turns in bummer fiscal report: “We’re disappointed in our underperformance”,,https://arstechnica.com/gaming/2019/02/ea-turns-in-bummer-fiscal-report-were-disappointed-in-our-underperformance/
"Did EA beat Nintendo at its own game?: 10 Years Ago This Month: A closer look at John Riccitiello's bold claim that EA would rival Nintendo's quality of software on the Wii, and a breakdown of a post-layoff pep talk",,https://www.gamesindustry.biz/articles/2019-02-01-did-ea-beat-nintendo-at-its-own-game
EA has a subscription service for 'another major platform' in the works ,,http://www.gamasutra.com/view/news/336095/EA_has_a_subscription_service_for_another_major_platform_in_the_works.php
"Packaged sales continue to rise at Sega, but profits are in decline ",,http://www.gamasutra.com/view/news/335964/Packaged_sales_continue_to_rise_at_Sega_but_profits_are_in_decline.php
Sega Sammy revenue and profit down in latest financials: Japanese firm posts $24.5 million loss from digital games,,https://www.gamesindustry.biz/articles/2019-02-05-sega-sammy-revenue-and-profit-down-in-latest-financials
