"NoW March 27, 2019",0
"Xbox will reportedly ""go big"" on streaming at E3 2019: Internal email from Phil Spencer says Google Stadia is a ""validation"" and notes ""no big surprises"" in Google reveal",https://www.gamesindustry.biz/articles/2019-03-21-xbox-will-reportedly-go-big-on-streaming-at-e3-2019
Report: Microsoft's disc-less Xbox One S gets name and launch date ,http://www.gamasutra.com/view/news/339112/Report_Microsofts_discless_Xbox_One_S_gets_name_and_launch_date.php
Microsoft unveils new indie game showcase calledID@Xbox Game Pass ,http://www.gamasutra.com/view/news/339198/Microsoft_unveils_new_indie_game_showcase_called_IDXbox_Game_Pass.php
Another World designer Eric Chahi sets up indie studio Pixel Reef ,http://www.gamasutra.com/view/news/339538/Another_World_designer_Eric_Chahi_sets_up_indie_studio_Pixel_Reef.php
Blog: My full time indie developer life - Year 2 ,http://www.gamasutra.com/blogs/KevinGiguere/20190325/336498/Year_2_My_full_time_indie_developer_life.php
"Blog: The colonial, non-colonial, and decolonial in video games ",http://www.gamasutra.com/blogs/NikhilMurthy/20190326/339369/The_Colonial_Noncolonial_and_Decolonial_in_Video_Games.php
All the Game Streaming Services Google Stadia Is Up Against,https://gizmodo.com/all-the-game-streaming-services-google-stadia-is-up-aga-1833457411
"Would a Google Stadia subscription service be bad news for the industry?: Analysts discuss Stadia's potential to drive ""a major downward trend"" on prices, and what subscriptions mean for developers and diversity of games",https://www.gamesindustry.biz/articles/2019-03-21-google-stadia
Google Stadia will support the Xbox Adaptive Controller: Microsoft's accessible device included among third-party controllers Google's platform will support,https://www.gamesindustry.biz/articles/2019-03-21-google-stadia-will-support-the-xbox-adaptive-controller
Google tries to reassure gamers about Stadia speed and latency concerns,https://arstechnica.com/gaming/2019/03/google-makes-ambitious-promises-about-stadia-streaming-speed-latency/
How id Software went from skeptical to excited about Google Stadia streaming,https://arstechnica.com/gaming/2019/03/googles-multiyear-quest-to-overcome-ids-stadia-streaming-skepticism/
"Slow Broadband, Usage Caps Could Mar Google Stadia's Game Streaming Ambitions",https://www.techdirt.com/articles/20190320/07025041831/slow-broadband-usage-caps-could-mar-google-stadias-game-streaming-ambitions.shtml
Google Stadia can succeed if it follows Fortnite's footsteps | Opinion,http://www.gamesindustry.biz/articles/2019-03-22-google-stadia-can-succeed-if-it-follows-fortnites-footsteps-opinion
Nav promoted his new album in Fortnite stream with Ninja,https://musically.com/2019/03/25/nav-promoted-his-new-album-in-fortnite-stream-with-ninja/
In-venue streaming and broadcasting of live sporting events - key legal issues for sports clubs and leagues,https://www.lexology.com/library/detail.aspx?g=09fe6573-daf6-4fff-bcf0-b9c6ccf41792
Valve stays the course despite intensifying competition,http://www.gamesindustry.biz/articles/2019-03-21-valve-stays-the-course-despite-intensifying-competition
"Valve Software dreams of analyzing your brainwaves to tailor in-game rewards: ""We can figure out what kinds of rewards you like, and the kinds you don't.""",https://arstechnica.com/gaming/2019/03/valve-software-dreams-of-analyzing-your-brainwaves-to-tailor-in-game-rewards/
Valve is pushing new social features for Steam later this year ,http://www.gamasutra.com/view/news/339155/Valve_is_pushing_new_social_features_for_Steam_later_this_year.php
Standalone Vive Focus Plus will cost $799 when it arrives in April ,http://www.gamasutra.com/view/news/339389/Standalone_Vive_Focus_Plus_will_cost_799_when_it_arrives_in_April.php
Valve Psychologist: Brain-computer Interfaces Are Coming & Could Be Built into VR Headsets,https://www.roadtovr.com/valve-brain-computer-interfaces-vr-ar-gdc-2019/
PlayStation VR headset sales have topped 4.2 million ,http://www.gamasutra.com/view/news/339370/PlayStation_VR_headset_sales_have_topped_42_million.php
"‘No Man’s Sky’ is Getting Full VR Support for PSVR, Rift, and Vive",https://roadtovr.us11.list-manage.com/track/click?u=5b1f1f8747d896bcd22323cd7&id=fe7638836e&e=3f6d6d02cf
