"UK Charts: Ace Combat 7 breaks franchise records, but Mario holds No.1: Bandai Namco's flight game debuts at No.2",,https://www.gamesindustry.biz/articles/2019-01-20-uk-charts-ace-combat-7-breaks-franchise-records-but-mario-holds-no-1
Microsoft says its game streaming service has an advantage thanks to Xbox ,,http://www.gamasutra.com/view/news/334715/Microsoft_says_its_game_streaming_service_has_an_advantage_thanks_to_Xbox.php
"Microsoft CEO states ""Netflix for games"" ambitions: Satya Nadella points to game catalogue and PC business as key advantages over competitors",,https://www.gamesindustry.biz/articles/2019-01-21-microsoft-ceo-states-netflix-for-games-ambitions
"As Twitch Subscriber Race Heats Up, Ninja Is Annoyed That “Everyone’s Just Out To Look For The Next Guy”",,https://www.tubefilter.com/2019/01/17/twitch-subscriber-race-heats-ninja-is-annoyed/
"U.S. Congresswoman Alexandria Ocasio-Cortez Helps Twitch Streamer ‘Hbomberguy’ Raise $340,000+ For Transgender Nonprofit",,https://www.tubefilter.com/2019/01/21/alexandria-ocasio-cortez-hbomberguy-mermaids-transgender-twitch-fundraiser/
"Streamer raises $340,000 for trans charity by playingDonkey Kong 64 ",,http://www.gamasutra.com/view/news/334861/Streamer_raises_340000_for_trans_charity_by_playing_Donkey_Kong_64.php
"Games industry names help YouTuber raise $340,000 for trans charity in Donkey Kong 64 marathon: Grant Kirkhope, Jon Romero and Jim Sterling join the challenge",,https://www.gamesindustry.biz/articles/2019-01-22-games-industry-names-help-youtuber-raise-usd340-000-for-trans-charity-in-donkey-kong-64-marathon
Machinima has been wiped clean: The end of an era,,https://www.techspot.com/news/78356-machinima-has-wiped-clean.html
"Otter Media blocks all Machinima content on YouTube: Parent company says new Machinima content will be ""distributed on new channels"" to be announced later this year",,https://www.gamesindustry.biz/articles/2019-01-21-otter-media-blocks-all-machinima-content-on-youtube
Changing industry economics let Bungie forge a new destiny | Opinion - The idea of a developer operating an expensive online game would once have seemed ludicrous - Bungie's new independence shows how much has changed,,https://www.gamesindustry.biz/articles/2019-01-18-changing-industry-economics-let-bungie-forge-a-new-destiny
Capcom Really Loves Remaking Resident Evil 2,,https://kotaku.com/capcom-really-loves-remaking-resident-evil-2-1831879905
Resident Evil 2 Review,,https://ca.ign.com/articles/2019/01/22/resident-evil-2-review
"Resident Evil 2 remake review: Beautiful, terrifying, and annoying",,https://arstechnica.com/gaming/2019/01/resident-evil-2-remake-review-itll-thrill-you-itll-annoy-you/
Resident Evil 2's time-restricted demo has been downloaded over 3 million times ,,http://www.gamasutra.com/view/news/334885/Resident_Evil_2s_timerestricted_demo_has_been_downloaded_over_3_million_times.php
Blog: Overcoming genre in Ni No Kuni 2 ,,http://www.gamasutra.com/blogs/JustinReeve/20190115/334347/Overcoming_Genre.php
Starbreeze delays console release of Overkill's The Walking Dead ,,http://www.gamasutra.com/view/news/334711/Starbreeze_delays_console_release_of_Overkills_The_Walking_Dead.php
"Starbreeze delays Overkill's The Walking Dead on console: Troubled publisher pushes game beyond its planned February release, more information “at a later date”",,https://www.gamesindustry.biz/articles/2019-01-18-starbreeze-delays-overkills-the-walking-dead-on-console
How to build a Bandersnatch: Developers shares advice on how to create interactive movie games that can stand toe-to-toe with Black Mirror's latest,,https://www.gamesindustry.biz/articles/2019-01-18-how-to-build-a-bandersnatch
The Bandersnatch effect: Netflix's Black Mirror outing has everyone talking about interactive fiction -- but what does this mean for the game developers who got there first?,,https://www.gamesindustry.biz/articles/2019-01-17-the-bandersnatch-effect
Blog: How to make the marriage between cinema and games last ,,http://www.gamasutra.com/blogs/OmTandon/20190109/333860/Netflixs_Bandersnatch_UX_Cinema_meets_Gaming_how_to_make_the_marriage_last.php
Get a job: Crystal Dynamics is hiring a Camera Designer ,,http://www.gamasutra.com/view/news/334637/Get_a_job_Crystal_Dynamics_is_hiring_a_Camera_Designer.php
Hothead Games opens new publishing division ,,http://www.gamasutra.com/view/news/334879/Hothead_Games_opens_new_publishing_division.php
Metro Exodus publisher confident over showdown with Crackdown and Far Cry: Deep Silver on how it has readied a marketing assault ahead of crowded February 15 launch,,https://www.gamesindustry.biz/articles/2019-01-22-metro-exodus-goes-in-all-guns-blazing-against-crackdown-and-far-cry
Switch dominates a great year for game consoles in 2018,,https://arstechnica.com/gaming/2019/01/switch-dominates-a-great-year-for-game-consoles-in-2018/
NPD: The Nintendo Switch was the best-selling console of 2018 in the U.S. ,,http://www.gamasutra.com/view/news/335012/NPD_The_Nintendo_Switch_was_the_bestselling_console_of_2018_in_the_US.php
Super Smash Bros. Ultimate sold 5 million globally in first week: Nintendo president Shuntaro Furukawa says Nintendo Switch seeing fastest software sales in Nintendo history,,https://www.gamesindustry.biz/articles/2019-01-16-super-smash-bros-ultimate-sold-5-million-globally-in-first-week
Media Create: New Super Mario Bros. U Deluxe sells through over half of first-week shipment,,https://www.gamesindustry.biz/articles/2019-01-18-media-create-new-super-mario-bros-u-deluxe-sells-through-52-53-percent-of-first-week-shipment
Don't Miss: The secret history of Donkey Kong 9,,0
"Former PlayStation, Take-Two, Nintendo execs launch blockchain publisher: Planet Digital Partners will use $38m blockchain token sale to secure investment for up to ten new games",,https://www.gamesindustry.biz/articles/2019-01-17-former-playstation-take-two-nintendo-execs-launch-blockchain-investment-firm
Blog: Games and crowdfunding in 2018 ,,http://www.gamasutra.com/blogs/ThomasBidaux/20190115/334360/Games_and_Crowdfunding_in_2018.php
"Nexon reportedly up for sale: Tencent, EA, Activision, and Disney listed as interested parties in Korean publisher of MapleStory",,https://www.gamesindustry.biz/articles/2019-01-17-nexon-reportedly-up-for-sale
Layoffs hit NCSoft's Iron Tiger Studios: Publisher confirms an undisclosed number of layoffs at San Mateo developer,,https://www.gamesindustry.biz/articles/2019-01-21-layoffs-hit-ncsofts-iron-tiger-studios
"Supergiant's fourth outing Hades introduces a more mature, organized dev process ",,http://www.gamasutra.com/view/news/333495/Supergiants_fourth_outing_Hades_introduces_a_more_mature_organized_dev_process.php
Splash Damage has released the full game design document for Dirty Bomb ,,http://www.gamasutra.com/view/news/334689/Splash_Damage_has_released_the_full_game_design_document_for_Dirty_Bomb.php
Cloud Imperium Games spent $4M a month in 2017 developing Star Citizen ,,http://www.gamasutra.com/view/news/334717/Cloud_Imperium_Games_spent_4M_a_month_in_2017_developing_Star_Citizen.php
Blog: The mysteries of studying game design ,,http://www.gamasutra.com/blogs/JoshBycer/20190122/334736/The_Mysteries_of_Studying_Game_Design.php
Blog: Why nobody cares about your indie game ,,http://www.gamasutra.com/blogs/LewisDenby/20190117/334557/Why_nobody_cares_about_your_indie_game.php
"CI Games establishes United Label, a new publishing label dedicated to indies ",,http://www.gamasutra.com/view/news/334721/CI_Games_establishes_United_Label_a_new_publishing_label_dedicated_to_indies.php
"IndieDB, ModDB founder launches mod-focused publishing arm: Modularity to use mod.io to offer a ""fully cross-platform and store-agnostic modding solution""",,https://www.gamesindustry.biz/articles/2019-01-17-indiedb-moddb-founder-launches-mod-focused-publishing-arm
"With CryEngine's SpatialOS GDK in the works, Crytek reaffirms open-platform goals ",,http://www.gamasutra.com/view/news/335021/With_CryEngines_SpatialOS_GDK_in_the_works_Crytek_reaffirms_openplatform_goals.php
"US, Canada mobile gaming brought in $9.37 billion in 2018: Candy Crush games topped revenue charts for the year as puzzle, strategy, and casino genres dominated",,https://www.gamesindustry.biz/articles/2019-01-17-us-canada-mobile-gaming-brought-in-usd9-37-billion-in-2018
"Chad Wild Clay, Vy Qwaint Launch Mobile Game Inspired By Their Kids’ YouTube Spy Series",,https://www.tubefilter.com/2019/01/17/chad-wild-clay-vy-qwaint-mobile-game/
FIFA 19 trumped Red Dead and COD as Europe's highest selling game in 2018: Gfk Entertainment data shows EA Sports' football title as the most popular across 15 countries,,https://www.gamesindustry.biz/articles/2019-01-18-fifa-19-trumped-red-dead-and-call-of-duty-as-europes-highest-selling-game-in-2018
Sony is rolling out PlayStation Now to new European territories ,,http://www.gamasutra.com/view/news/335023/Sony_is_rolling_out_PlayStation_Now_to_new_European_territories.php
"Fast Travel Games sold more on PSVR than Steam, Oculus and Viveport combined: PSVR accounts for 58% of Apex Construct sales, said CEO Oskar Burman, and Sony's lead is getting wider",,https://www.gamesindustry.biz/articles/2019-01-18-fast-travel-games-sold-more-on-psvr-than-steam-oculus-and-viveport-combined
‘Apex Construct’ Studio: Big Boost in PSVR Installs Thanks to Recent Increase in Headset Sales,,https://www.roadtovr.com/apex-construct-studio-big-boost-psvr-installs-thanks-recent-increase-headset-sales/
"VR headsets, augmented windshields, and multiscreen infotainment at CES",,https://arstechnica.com/cars/2019/01/vr-headsets-augmented-windshields-and-multiscreen-infotainment-at-ces/
"""",,0
VR Train Simulator ‘Derail Valley’ to Launch into Early Access This Week,,https://www.roadtovr.com/vr-train-simulator-derail-valley-launch-early-access-week/
"The Digital Revolution: Fundamentals of virtual, mixed and augmented reality",,https://www.lexology.com/library/detail.aspx?g=726b55c4-f5f7-4aa1-8485-ddc99d5429f0
Mortal Kombat 11 gameplay as seen by a ‘90s arcade rat,,https://arstechnica.com/gaming/2019/01/mortal-kombat-11-gameplay-as-seen-by-a-1990s-arcade-rat/
"How European expansion bolstered Bulkhead against Brexit: Setting up a German subsidiary enabled recruitment of new talent amid political turmoil in the UK, says Bulkhead Interactive CEO Joe Brammer",,https://www.gamesindustry.biz/articles/2019-01-17-passport-control-how-european-expansion-bolstered-bulkhead-against-brexit
New esports league crops up around Farming Simulator 19 ,,http://www.gamasutra.com/view/news/335016/New_esports_league_crops_up_around_Farming_Simulator_19.php
"GAME's shares improve following ""solid"" Christmas results: UK dips offset by Spanish growth over festive period",,https://www.gamesindustry.biz/articles/2019-01-17-games-shares-improve-following-solid-christmas-results
Kingdom Hearts III Is An Unreviewable Video Game,,https://cl.s7.exct.net/?qs=9bc9b95366d5ad11febf598bee1bfb12f04d5561e349adbe037f750148bcf1615045912344eec101f73cd1a2760118e9efe032045c9ecfcd
"9 Video Game Secrets That Took Years to Find: In the olden days, programmers could hide something in the code of a video game and be confident that it would never be revealed. ",,https://ca.ign.com/videos/2019/01/21/9-video-game-secrets-that-took-years-to-find
"Alexandria Ocasio-Cortez, video games, and the new online town square",,https://arstechnica.com/gaming/2019/01/alexandria-ocasio-cortez-video-games-and-the-new-online-town-square/
Video: How I got my mom to play through Plants vs. Zombies ,,http://www.gamasutra.com/view/news/334903/Video_How_I_got_my_mom_to_play_through_Plants_vs_Zombies.php
DIGITAL,,0
"China creates app to tell you if you are near someone in debt and encourages you to report them: The app will allow the public shaming of ""deadbeat debtors""",,https://www.techspot.com/news/78405-china-creates-app-tell-you-if-you-near.html
Russia tries to force Facebook and Twitter to relocate servers to Russia,,https://arstechnica.com/tech-policy/2019/01/russia-tries-to-force-facebook-and-twitter-to-relocate-servers-to-russia/
"Pay for Trump’s border wall with $20 online porn fee, Ariz. lawmaker says",,https://arstechnica.com/tech-policy/2019/01/pay-for-trumps-border-wall-with-20-online-porn-fee-ariz-lawmaker-says/
Herrick V. Grindr – The Section 230 Case That's Not What You've Heard,,https://www.techdirt.com/articles/20190118/01175141419/herrick-v-grindr-section-230-case-thats-not-what-youve-heard.shtml
Supreme Court Refuses To Hear Case That Threatened CDA 230,,https://www.techdirt.com/articles/20190122/17160141446/supreme-court-refuses-to-hear-case-that-threatened-cda-230.shtml
There Was Heavy Tech Lobbying On Article 13... From The Company Hoping To Sell Everyone The Filters,,https://www.techdirt.com/articles/20190121/17024041437/there-was-heavy-tech-lobbying-article-13-company-hoping-to-sell-everyone-filters.shtml
"Disney is already losing over $1 billion in streaming, and its Netflix competitor has yet to launch",,https://www.cnbc.com/2019/01/18/disneys-streaming-efforts-are-already-losing-more-than-1-billion-and-they-havent-really-even-started.html
Lucasfilm Steps In After FanFilm That Tried To Follow The Rules Was Claimed By Disney Over Star Wars Music,,https://www.techdirt.com/articles/20190118/09321141421/lucasfilm-steps-after-fanfilm-that-tried-to-follow-rules-was-claimed-disney-over-star-wars-music.shtml
"Facebook may be hit with “record-setting fine” by FTC, report says",,https://arstechnica.com/tech-policy/2019/01/report-facebook-under-scrutiny-by-ftc-could-soon-owe-millions-in-fines/
Facebook Just Removed Hundreds of Pages Linked to Russia,,http://time.com/5505772/facebook-pages-russia/
President Trump Posts Altered Photos to Facebook and Instagram That Make Him Look Thinner,,https://gizmodo.com/president-trump-posts-altered-photos-to-facebook-and-in-1831909849
"Viral Is Still Copyrighted, Even to Learn Where Trump Is ",,https://www.lexology.com/library/detail.aspx?g=0c91662a-8c92-423c-b9d8-e17250ac4cc3
"Parody Washington Post Leads To Bogus Legal Threat, And A Reminder Of An Old Internet Lawsuit",,https://www.techdirt.com/articles/20190117/23121341418/parody-washington-post-leads-to-bogus-legal-threat-reminder-old-internet-lawsuit.shtml
Judge unseals trove of internal Facebook documents following our legal action,,https://www.revealnews.org/blog/a-judge-unsealed-a-trove-of-internal-facebook-documents-following-our-legal-action/
"Google, Facebook, and Amazon Spent Record Cash Lobbying Washington in 2018",,https://gizmodo.com/google-facebook-and-amazon-spent-record-cash-lobbying-1831982062
Google’s lobbying spending set new records in 2018,,https://arstechnica.com/tech-policy/2019/01/technology-giants-spent-millions-on-lobbying-in-2018/
Blocking Constituents from Facebook Page Violates First Amendment–Davison v. Randall,,https://blog.ericgoldman.org/archives/2019/01/blocking-constituents-from-facebook-page-violates-first-amendment-davison-v-randall.htm
"Why Silicon Valley’s “growth at any cost” is the new “unsafe at any speed”: For years, Ashkan Soltani has warned of Facebook's privacy-eroding tendencies.",,https://arstechnica.com/tech-policy/2019/01/researcher-as-tech-firms-grow-rapidly-privacy-violations-must-be-intentional/
Fourth Amendment Limits NYC’s Demands for Airbnb Customer Records,,https://blog.ericgoldman.org/archives/2019/01/fourth-amendment-limits-nycs-demands-for-airbnb-customer-records.htm
"Pie Company Has A Rogue Twitter Impostor, But Decides To Be Totally Cool With It",,https://www.techdirt.com/articles/20190117/09121941410/pie-company-has-rogue-twitter-impostor-decides-to-be-totally-cool-with-it.shtml
Lawmakers seek harsh penalties against ZTE and Huawei,,https://arstechnica.com/tech-policy/2019/01/lawmakers-seek-harsh-penalties-against-zte-and-huawei/
