"NoW March 6, 2019",,0
Apex Legends hits 50 million players: Respawn's free-to-play battle royale game passes milestone in its first month of release,,https://www.gamesindustry.biz/articles/2019-03-04-apex-legends-hits-50-million-players
"Is Red Dead Redemption Online tanking Take-Two's share price? | Opinion: Despite fantastic sales, Take-Two can't catch a break - perhaps because investors expected RDR2 to be something it simply isn't",,https://www.gamesindustry.biz/articles/2019-03-01-is-red-dead-redemption-online-tanking-take-twos-share-price-opinion
Activision Blizzard: 800 job cuts could “negatively impact” our business: Call of Duty publisher has set aside $150 million to compensate affected staff,,https://www.gamesindustry.biz/articles/2019-03-01-activision-blizzard-800-job-cuts-could-negatively-impact-our-business
Activision recognises $164m revenues from giving up Destiny rights: Publisher reiterates it “no longer has any material rights or obligations” to Bungie's franchise,,https://www.gamesindustry.biz/articles/2019-03-04-activision-recognises-usd164m-revenues-from-giving-up-destiny-rights
"New ToeJam & Earl game, 8Bitdo controller get Genesis nostalgia right: Sega wasn't involved with game or controller, but its Sega Ages line gets a shout, too.",,https://arstechnica.com/gaming/2019/02/new-toejam-earl-game-8bitdo-controller-get-genesis-nostalgia-right/
"One of Pokémon's New Starters, in the Style ofDetective Pikachu",,https://io9.gizmodo.com/one-of-pokemons-new-starters-in-the-style-of-detective-1832999826
Why arcade Pac-Man players literally grabbed onto the game,,https://arstechnica.com/gaming/2019/02/why-arcade-pac-man-players-literally-grabbed-onto-the-game/
Don't Miss: Between a rock and a 'Harada' place: The massive Tekken interview ,,https://www.gamasutra.com/view/news/305185/Between_a_rock_and_a_Harada_place_The_massive_Tekken_interview.php
Yu-Gi-Oh Duel Links hits 90 million downloads,,https://venturebeat.com/2019/03/01/yu-gi-oh-duel-links-hits-90-million-downloads/
Cloud gaming will determine the new lord of digital distribution,,https://venturebeat.com/2019/02/27/cloud-gaming-will-determine-the-new-lord-of-digital-distribution/
"Tencent set to unveil new cloud gaming service: Tencent Instant Play to bring cloud gaming to PC and Android, overview with Intel planned for GDC",,https://www.gamesindustry.biz/articles/2019-02-27-tencent-set-to-unveil-new-cloud-gaming-service
Nexon shortlists five bidders including Kakao and Tencent,,https://www.pocketgamer.biz/asia/news/70140/nexon-shortlists-five-bidders-including-kakao-and-tencent/
"Tencent among shortlisted bidders for Nexon: Netmarble not invited but forms consortium with MBK partners, main bidding to begin in early April",,https://www.gamesindustry.biz/articles/2019-03-04-tencent-among-shortlisted-bidders-for-nexon
