"NoW January 9, 2019",0
"Ubisoft goes Steam-less, embraces Epic Games Store for The Division 2",https://arstechnica.com/gaming/2019/01/ubisoft-snubs-steam-brings-the-division-2-to-epics-games-store/
The Division 2 is skipping Steam in favor of the Epic Games Store ,http://www.gamasutra.com/view/news/334073/The_Division_2_is_skipping_Steam_in_favor_of_the_Epic_Games_Store.php
Moving platforms forward in an Epic Games world: Saber Interactive CEO Matt Karch explains the NBA Playgrounds studio's decision to go in early on Epic's new store,https://www.gamesindustry.biz/articles/2019-01-04-moving-platforms-forward-in-an-epic-games-world
Steam data shows VR ownership doubled in 2018 -- to 0.8% of users ,http://www.gamasutra.com/view/news/333742/Steam_data_shows_VR_ownership_doubled_in_2018__to_08_of_users.php
Valve data shows PC VR ownership rose steadily in 2018,https://arstechnica.com/gaming/2019/01/steam-survey-vr-headset-ownership-roughly-doubled-in-2018/
Number of Steam users with VR headsets almost doubled in 2018: But still only represents 0.8% of leading marketplace's total audience,https://www.gamesindustry.biz/articles/2019-01-03-number-of-steam-users-with-vr-headsets-almost-doubled-in-2018
Steam now supports social media links on Store pages ,http://www.gamasutra.com/view/news/334077/Steam_now_supports_social_media_links_on_Store_pages.php
Valve dished out a record 600k VAC bans after CS:GO went free-to-play ,http://www.gamasutra.com/view/news/333862/Valve_dished_out_a_record_600k_VAC_bans_after_CSGO_went_freetoplay.php
Half-Life and Portal writer Erik Wolpaw returns to Valve: Wolpaw is back at the developer after departing less than two years ago,https://www.gamesindustry.biz/articles/2019-01-04-half-life-and-portal-writer-erik-wolpaw-returns-to-valve
Blog: Side hustling advice from full time game devs ,http://www.gamasutra.com/blogs/LarryBrandonGDU/20190107/333366/Side_Hustling_Advice_from_Full_time_Game_Devs.php
NVIDIA Claims 4 Million PC VR Headsets Sold,https://www.roadtovr.com/nvidia-claims-4-million-pc-vr-headsets-sold/
The Vive Pro Eye Is the Next Big Step for VR,https://gizmodo.com/the-next-evolution-in-vr-is-the-vive-pro-eye-1831559650
HTC unveils two new standalone VR headsets ,http://www.gamasutra.com/view/news/333979/HTC_unveils_two_new_standalone_VR_headsets.php
One of the Biggest Names in Home Fitness is Making a VR Exercise Bike,https://www.roadtovr.com/ces-2019-nordictrack-making-vr-exercise-bike/
"UK video games market is now 80% digital: However, 75% of AAA game sales are physical",https://www.gamesindustry.biz/articles/2019-01-02-uk-video-games-market-is-now-80-percent-digital
"Let people know what they're buying - A New Year's resolution for gaming: For 2019, companies should commit to giving customers what they need to make an informed purchasing decision",https://www.gamesindustry.biz/articles/2019-01-03-2019-let-people-know-what-theyre-buying
"All 14 Days of Fortnite challenges return following end date mix-up: Partial progress has been reset, though.",https://www.eurogamer.net/articles/2019-01-06-all-14-days-of-fortnite-challenges-return-following-end-date-mix-up
Fortnite sees best month on iOS yet in December: Final month of 2019 saw 83% month-over-month revenue increase to nearly $69 million,https://www.gamesindustry.biz/articles/2019-01-08-fortnite-sees-best-month-on-ios-yet-in-december
"The British Army needs ""binge gamers"", ""snow flakes"" and ""me me me millennials""",https://www.eurogamer.net/articles/2019-01-03-the-british-army-needs-binge-gamers-snow-flakes-and-me-me-me-millennials
Nintendo Officially Shoots Down Bowsette,https://kotaku.com/nintendo-officially-shoots-down-bowsette-1831489905
"Nintendo open to moving away from home consoles, says company president ",http://www.gamasutra.com/view/news/333838/Nintendo_open_to_moving_away_from_home_consoles_says_company_president.php
Super Smash Bros and PlayStation gift cards dominate Amazon 2018 chart: Switch and PS4 come out top at US retailer,https://www.gamesindustry.biz/articles/2019-01-04-super-smash-bros-and-playstation-gift-cards-dominate-amazon-2018-chart
PlayStation 4 sales have exceeded 91.6 million units worldwide ,http://www.gamasutra.com/view/news/333920/PlayStation_4_sales_have_exceeded_916_million_units_worldwide.php
