"NoW January 30, 2019",0
GAMES,0
"EA backs down over loot boxes in Belgium: ""While we are taking this action, we do not agree with Belgian authorities' interpretation of the law,"" says publisher",https://www.gamesindustry.biz/articles/2019-01-29-ea-to-halt-sale-of-fifa-points-in-belgium-after-it-backs-down-over-loot-boxes
EA amends FIFA loot boxes in Belgium after regulators increase pressure ,http://www.gamasutra.com/view/news/335422/EA_amends_FIFA_loot_boxes_in_Belgium_after_regulators_increase_pressure.php
"EA gives in to Belgian regulators, stops selling FIFA loot boxes",https://arstechnica.com/gaming/2019/01/ea-gives-in-to-belgian-regulators-stops-selling-fifa-loot-boxes/
"Anthem gameplay premiere: Pretty jetpack combat, too much Bio-wear and tear",https://arstechnica.com/gaming/2019/01/anthem-gameplay-premiere-pretty-jetpack-combat-too-much-bio-wear-and-tear/
"EA BioWare refutes lack of planning for troubled Anthem demo: BioWare defends against accusation of ""under-planned"" VIP weekend, highlights ""Fortnite-type"" numbers on Twitch",https://www.gamesindustry.biz/articles/2019-01-28-ea-bioware-refutes-lack-of-planning-for-troubled-anthem-demo
"Sensor Tower: EA Sports free-to-play mobile games generate $1bn lifetime revenue - US consumers account for 62% of revenue, with Madden NFL grossing $490 million to date",https://www.gamesindustry.biz/articles/2019-01-30-ea-sports-free-to-play-mobile-games-generate-usd1bn-lifetime-revenue
Loot Unboxing (Fortnite),https://www.epicgames.com/fortnite/en-US/news/loot-unboxing
Fortnite puts an end to random loot box purchases,https://arstechnica.com/gaming/2019/01/fortnite-puts-an-end-to-random-loot-boxes-purchases/
DOJ Reverses Wire Act Opinion as It Applies to Non-Sports Gambling,https://www.lexology.com/library/detail.aspx?g=b7dd1845-6a8e-461f-a80b-a6e09f325999
"Gaming mirrors Facebook's crisis of credibility: On addiction and loot boxes, the industry's lack of transparency will prevent it from getting the benefit of the doubt",https://www.gamesindustry.biz/articles/2019-01-25-gaming-mirrors-facebooks-crisis-of-credibility
Facebook shot down safeguards to keep kids from overspending in Facebook Games ,http://www.gamasutra.com/view/news/335221/Facebook_shot_down_safeguards_to_keep_kids_from_overspending_in_Facebook_Games.php
Facebook ignored solution to children overspending in games: Unsealed documents reveal social network instead wanted to “maximise revenues”,https://www.gamesindustry.biz/articles/2019-01-25-facebook-ignored-solution-to-children-overspending-in-games
Senators ask Facebook why it tricked kids into spending parents’ money,https://arstechnica.com/tech-policy/2019/01/senators-ask-facebook-why-it-tricked-kids-into-spending-parents-money/
Facebook just hired a handful of its toughest privacy critics,https://arstechnica.com/tech-policy/2019/01/facebook-just-hired-a-handful-of-its-toughest-privacy-critics/
Disney Goes All Disney On The Kingdom Hearts 3 Title Screen Over Streaming,https://www.techdirt.com/articles/20190128/15073541479/disney-goes-all-disney-kingdom-hearts-3-title-screen-over-streaming.shtml
A modder has spent three years recreating The Legend of Zelda in Doom ,http://www.gamasutra.com/view/news/335304/A_modder_has_spent_three_years_recreating_The_Legend_of_Zelda_in_Doom.php
"Model accuses Tencent of using her likeness without permission in Ring of Elysium: ""I feel like, in a way, people have been deceived, and that's really, really not okay,"" says Mei Yan",https://www.gamesindustry.biz/articles/2019-01-28-model-accuses-tencent-of-using-her-likeness-without-permission-in-ring-of-elysium
Tencent uses model's likeness for Ring of Elysium without permission ,http://www.gamasutra.com/view/news/335223/Tencent_uses_models_likeness_for_Ring_of_Elysium_without_permission.php
"95 more games approved in China, including some from Tencent and NetEase ",http://www.gamasutra.com/view/news/335130/95_more_games_approved_in_China_including_some_from_Tencent_and_NetEase.php
"China finally greenlights new Tencent, NetEase games - but Fortnite and PUBG still left waiting: Nation's leading publishers included in latest batch of approvals",https://www.gamesindustry.biz/articles/2019-01-25-china-finally-greenlights-new-tencent-netease-games-but-fortnite-and-pubg-still-left-waiting
NetEase to introduce mobile game curfew in China ,http://www.gamasutra.com/view/news/335123/NetEase_to_introduce_mobile_game_curfew_in_China.php
NetEase to impose restrictions on young gamers in China: Anti-addiction measures include an 11-hour curfew and a limit of one hour a weekday for people age 12 and under,https://www.gamesindustry.biz/articles/2019-01-25-netease-to-impose-restrictions-on-young-gamers-in-china
NetEase acquires minority stake in Quantic Dream,https://www.gamesindustry.biz/articles/2019-01-29-netease-acquires-minority-stake-in-quantic-dream
NetEase grabs stake in Quantic Dream as studio prepares for multi-platform future ,http://www.gamasutra.com/view/news/335433/NetEase_grabs_stake_in_Quantic_Dream_as_studio_prepares_for_multiplatform_future.php
February marks the final round of PlayStation Plus games for Vita and PS3 ,http://www.gamasutra.com/view/news/335545/February_marks_the_final_round_of_PlayStation_Plus_games_for_Vita_and_PS3.php
Detroit maker Quantic Dream looks beyond PlayStation,https://arstechnica.com/gaming/2019/01/detroit-maker-quantic-dream-looks-beyond-playstation/
"Beyond PlayStation 5: Quantic Dream's next-gen, multi-platform vision - NetEase investment will allow Detroit: Become Human studio to target new fans in China and “compete with the best AAA studios”",https://www.gamesindustry.biz/articles/2019-01-30-beyond-playstation-5-quantic-dreams-next-gen-multi-platform-vision
Star Control: Origins restored to GOG after DMCA block - Publisher thanks Valve and GOG for their “timely review of the situation”,https://www.gamesindustry.biz/articles/2019-01-30-star-control-origins-restored-to-gog-after-dcma-block
Developer DMCAs Steam For Hosting Its Own Game To Wrest Control Back From Rogue Publisher,https://www.techdirt.com/articles/20190125/09550541467/developer-dmcas-steam-hosting-own-game-to-wrest-control-back-rogue-publisher.shtml
Blog: Why did we DMCA our own game a few weeks after launch? ,http://www.gamasutra.com/blogs/JeremyChoo/20190129/335340/Why_did_we_DMCA_our_own_game_few_weeks_after_launching.php
Halo and Call of Duty co-developer Certain Affinity expanding into Canada ,http://www.gamasutra.com/view/news/335529/Halo_and_Call_of_Duty_codeveloper_Certain_Affinity_expanding_into_Canada.php
"Certain Affinity sets up Toronto studio: Trump's America, non-stop flights, and distressed students helped decide where the Halo co-developer opened its new office.",https://www.gamesindustry.biz/articles/2019-01-30-certain-affinity-sets-up-toronto-studio
A 'major reorganization' could see RuneScape dev Jagex put up for sale ,http://www.gamasutra.com/view/news/335354/A_major_reorganization_could_see_RuneScape_dev_Jagex_put_up_for_sale.php
Jagex up for sale as Chinese owner seeks to restructure: Fukong Interactive announces intention to seek buyer for all or part of its stake in the Runescape developer,https://www.gamesindustry.biz/articles/2019-01-28-jagex-might-be-up-for-sale-as-chinese-owner-seeks-to-restructure
Game on in trademark dispute,https://www.lexology.com/library/detail.aspx?g=1ec6fcc5-2d42-42aa-8977-1ff9b66a229a
"Westworld Mobile shutting down following lawsuit settlement: Behaviour Interactive says removal from App Store and Google Play was not connected to ""amicable resolution"" of copyright dispute",https://www.gamesindustry.biz/articles/2019-01-16-westworld-mobile-shutting-down-following-lawsuit-settlement
PUBG esports introducing profit-sharing for its teams ,http://www.gamasutra.com/view/news/335135/PUBG_esports_introducing_profitsharing_for_its_teams.php
How FIA Esports interest could change motorsport: The FIA's desire to follow Formula 1 and the World Rally Championship into Esports is not an attempt to jump on the bandwagon - instead it could inform the future of motorsport,https://www.autosport.com/esports/feature/8774/how-fia-esports-interest-could-change-motorsport
Why a Farming Simulator esports league isn't as ridiculous as it sounds: Giants Software CEO Christian Ammann on the world of competitive farming,https://www.gamesindustry.biz/articles/2019-01-29-why-a-farming-simulator-esports-league-isnt-as-ridiculous-as-it-sounds
FanAI acquires esports data firm Waypoint Media: Sports monetisation platform unites with technology and data specialist,https://www.gamesindustry.biz/articles/2019-01-30-fanai-acquires-esports-data-firm-waypoint-media
Playtika opens $6m R&D centre in Bucharest: New Romanian outfit will provide QA and testing for mobile company's games,https://www.gamesindustry.biz/articles/2019-01-30-playtika-opens-usd6m-r-and-d-center-in-bucharest
Epic acquires SkookumScript creator Agog Labs ,http://www.gamasutra.com/view/news/335077/Epic_acquires_SkookumScript_creator_Agog_Labs.php
Deep Silver pulls Metro Exodus from Steam in favor of Epic Store ,http://www.gamasutra.com/view/news/335330/Deep_Silver_pulls_Metro_Exodus_from_Steam_in_favor_of_Epic_Store.php
Epic Games Store snags Metro Exodus away from Steam [Updated],https://arstechnica.com/gaming/2019/01/epic-games-store-snags-metro-exodus-away-from-steam/
Deep Silver owner THQ Nordic distances itself from Metro Exodus exclusivity deal ,http://www.gamasutra.com/view/news/335423/Deep_Silver_owner_THQ_Nordic_distances_itself_from_Metro_Exodus_exclusivity_deal.php
"So you want to compete with Steam: Epic, Discord, Kartridge, and RobotCache ",http://www.gamasutra.com/blogs/LarsDoucet/20190124/335114/So_You_Want_To_Compete_With_Steam_Epic_Discord_Kartridge_and_RobotCache.php
THQ Nordic CEO 'fully supports' Metro Exodus exclusivity deal ,http://www.gamasutra.com/view/news/335533/THQ_Nordic_CEO_fully_supports_Metro_Exodus_exclusivity_deal.php
"THQ Nordic ""fully supports"" Metro Exodus exclusivity: Parent company clarifies comment distancing itself from decision to pull PC version from Steam in favor of Epic Games store, says it will change name to avoid future confusion",https://www.gamesindustry.biz/articles/2019-01-30-thq-nordic-fully-supports-metro-exodus-exclusivity
Should PC games cost less on Epic’s Games Store?,https://arstechnica.com/gaming/2019/01/should-pc-games-cost-less-on-epics-games-store/
Report: Apple is eyeing its own game subscription service  ,0
"Apple hopes to offer a Netflix-like subscription service for games, report claims",https://arstechnica.com/gadgets/2019/01/apple-is-rumored-to-be-working-on-a-games-subscription-service/
Ubisoft will modify Assassin's Creed Odyssey DLC following feedback ,http://www.gamasutra.com/view/news/335220/Ubisoft_will_modify_Assassins_Creed_Odyssey_DLC_following_feedback.php
Ubisoft will change divisive Assassin's Creed Odyssey DLC: Enforced heterosexual relationship in Shadow Heritage DLC will be altered by an upcoming patch,https://www.gamesindustry.biz/articles/2019-01-25-ubisoft-will-change-divisive-assassins-creed-odyssey-dlc
Opinion: The latest Assassin's Creed Odyssey controversy was easily avoidable 3,0
Nintendo restarting Metroid Prime 4 development with series originator Retro Studios ,http://www.gamasutra.com/view/news/335212/Nintendo_restarting_Metroid_Prime_4_development_with_series_originator_Retro_Studios.php
