"NoW February 20, 2019",,0
GAMES,,0
Oxford study finds no link between violent video games and teen aggression ,,http://www.gamasutra.com/view/news/336824/Oxford_study_finds_no_link_between_violent_video_games_and_teen_aggression.php
"No link between violent video games and increased aggression in teens, study finds: Oxford University describes study as ""one of the most definitive to date""",,https://www.gamesindustry.biz/articles/2019-02-14-no-link-between-violent-video-games-and-increased-aggression-in-teens-new-research-finds
Violent video game engagement is not associated with adolescents' aggressive behaviour: evidence from a registered report (Andrew Przybylski & Netta Weinstein),,https://royalsocietypublishing.org/doi/full/10.1098/rsos.171474
Niantic poised to settle Pokémon Go trespassing complaints,,https://arstechnica.com/gaming/2019/02/niantic-poised-to-settle-pokemon-go-trespassing-complaints/
Pokémon GO Lawsuit Settlement Might Lead To Some Pokéstops And Gyms Being Removed,,https://kotaku.com/pokemon-go-lawsuit-settlement-might-lead-to-some-pokest-1832668869
The mythos and meaning behind Pokémon’s most famous glitch,,https://arstechnica.com/gaming/2019/02/the-mythos-and-meaning-behind-pokemons-most-famous-glitch/
Epic Games pulls Fortnite YouTube ads over child predator concerns ,,http://www.gamasutra.com/view/news/337136/Epic_Games_pulls_Fortnite_YouTube_ads_over_child_predator_concerns.php
Organizers of unsanctioned Fortnite festival facing lawsuit from Epic Games ,,http://www.gamasutra.com/view/news/337034/Organizers_of_unsanctioned_Fortnite_festival_facing_lawsuit_from_Epic_Games.php
Epic Games files legal claim against Fortnite Live event organizers: Organizer Exciting Events forced to stop trading to limit losses,,https://www.gamesindustry.biz/articles/2019-02-19-epic-games-files-legal-claim-against-fortnite-live-event
Fortnite dance off: Fresh Prince star refused copyright on 'Carlton Dance' ,,http://www.gamasutra.com/view/news/336784/Fortnite_dance_off_Fresh_Prince_star_refused_copyright_on_Carlton_Dance.php
One Of The People Suing Fortnite Over 'Stolen' Dance Steps Gets His Dance Rejected By The US Copyright Office,,https://www.techdirt.com/articles/20190216/13253141615/one-people-suing-fortnite-over-stolen-dance-steps-gets-his-dance-rejected-us-copyright-office.shtml
"Alfonso Ribeiro denied copyright to Carlton dance, damaging Fortnite lawsuit: US Copyright Office says routine is too simple to be protected by law",,https://www.gamesindustry.biz/articles/2019-02-15-actor-alfonso-ribeiro-denied-copyright-to-carlton-dance-damaging-fortnite-lawsuit
‘Fortnite’ Publisher Pauses YouTube Ads After They Ran On Videos Where Commenters Fetishized Children,,https://www.tubefilter.com/2019/02/20/epic-games-pauses-youtube-ad-spend/
"Respawn has already banned over 16,000 cheaters fromApex Legends ",,http://www.gamasutra.com/view/news/336935/Respawn_has_already_banned_over_16000_cheaters_from_Apex_Legends.php
Ninja Wins Twitch’s First ‘Apex Legends’ Tournament By One Point,,https://www.tubefilter.com/2019/02/14/ninja-wins-twitchs-first-apex-legends-tournament-by-one-point/
Apex Legends already beat Fortnite's single-day viewership record on Twitch ,,http://www.gamasutra.com/view/news/336715/Apex_Legends_already_beat_Fortnites_singleday_viewership_record_on_Twitch.php
"Apex Legends beats Fortnite record for single-day Twitch viewing: Respawn's Twitch Rivals event racked up 8.4 million hours viewed, streaming platform's fourth highest in five years",,https://www.gamesindustry.biz/articles/2019-02-15-apex-legends-beats-fortnite-record-for-single-day-twitch-viewing
‘Fortnite’s’ Massively Attended Virtual Concert is a Potent Glimpse of VR’s Future,,https://www.roadtovr.com/fornite-virtual-concert-potent-glimpse-of-virtual-reality-future/
Wrestler Booker T Sues Activision For Copyright Infringement Over Fairly Generic Character Depiction,,https://www.techdirt.com/articles/20190213/09080041584/wrestler-booker-t-sues-activision-copyright-infringement-over-fairly-generic-character-depiction.shtml
US labor organization AFL-CIO urges game developers to unionize in open letter ,,http://www.gamasutra.com/view/news/336812/US_labor_organization_AFLCIO_urges_game_developers_to_unionize_in_open_letter.php
How did Yoshi’s Island music end up in an official US gov’t Web game?,,https://arstechnica.com/gaming/2019/02/what-was-this-yoshis-island-ds-music-doing-on-the-epa-website/
Revenue and profit up as Paradox experiences best year to date ,,http://www.gamasutra.com/view/news/337006/Revenue_and_profit_up_as_Paradox_experiences_best_year_to_date.php
"Paradox Interactive breaks new ground for modding on consoles: Independent Paradox Mods platform will provide a direct channel to console audiences ""without pre-moderation""",,https://www.gamesindustry.biz/articles/2019-02-20-paradox-interactive-breaks-new-ground-for-modding-on-consoles
Paradox and Microsoft have created an open modding platform for Paradox titles ,,http://www.gamasutra.com/view/news/337118/Paradox_and_Microsoft_have_created_an_open_modding_platform_for_Paradox_titles.php
"Microsoft, Paradox allow open game modding on Xbox One for the first time",,https://arstechnica.com/gaming/2019/02/microsoft-paradox-allow-open-game-modding-on-xbox-one-for-the-first-time/
Devs accuse Sony of “playing favorites” with PS4’s cross-platform support,,https://arstechnica.com/gaming/2019/02/devs-accuse-sony-of-playing-favorites-with-ps4s-cross-platform-support/
Stubbornness over cross-play reminds us of bad old Sony | Opinion,,https://www.gamesindustry.biz/articles/2019-02-15-stubbornness-over-cross-play-reminds-us-of-bad-old-sony
"Sony: We Are Totally Open For Crossplay, Game Developers: No, You Totally Are Not",,https://www.techdirt.com/articles/20190213/08041941583/sony-we-are-totally-open-crossplay-game-developers-no-you-totally-are-not.shtml
Sony is readying to shut down PlayStation Vita production in Japan ,,http://www.gamasutra.com/view/news/337029/Sony_is_readying_to_shut_down_PlayStation_Vita_production_in_Japan.php
PS4-exclusive Dreams is launching into early access this spring ,,http://www.gamasutra.com/view/news/337128/PS4exclusive_Dreams_is_launching_into_early_access_this_spring.php
Employees at Blizzard's France location unsure if their jobs are safe ,,http://www.gamasutra.com/view/news/336831/Employees_at_Blizzards_France_location_unsure_if_their_jobs_are_safe.php
134 jobs in danger at Blizzard's French office,,https://www.gamesindustry.biz/articles/2019-02-15-134-jobs-in-danger-at-blizzards-french-office
"Rewarding profit and nothing else | Opinion : Activision Blizzard's mass layoffs amid record profits fits the company's disregard for optics, but it may be self-defeating in the long run",,https://www.gamesindustry.biz/articles/2019-02-14-rewarding-profit-and-nothing-else-opinion
"Nitro Games begins layoff talks, could cut workforce in half",,http://www.gamasutra.com/view/news/337008/Nitro_Games_begins_layoff_talks_could_cut_workforce_in_half.php
Mobile dev Next Games lays off 26 staff ,,http://www.gamasutra.com/view/news/336810/Mobile_dev_Next_Games_lays_off_26_staff.php
Q&A: Non-profit Take This addresses mental health challenges among gaming community and creators,,https://www.geekwire.com/2019/really-easy-get-locked-passions-take-non-profit-provides-mental-health-resources-crunch-wracked-video-game-industry/
Ubisoft holds steady in Q3 despite competitive holiday,,https://www.gamesindustry.biz/articles/2019-02-14-ubisoft-holds-steady-in-q3-despite-competitive-holiday
Ubisoft isn't worried about an influx of new games stealingRainbow Six Siege's thunder ,,http://www.gamasutra.com/view/news/336712/Ubisoft_isnt_worried_about_an_influx_of_new_games_stealing_Rainbow_Six_Sieges_thunder.php
"Why Ubisoft moved The Division 2 to the Epic Games store: CEO Yves Guillemot praises Epic's terms, but says move was to ""increase player exposure to our own store""",,https://www.gamesindustry.biz/articles/2019-02-14-why-ubisoft-moved-the-division-2-to-the-epic-games-store
"Shadow of the Tomb Raider ships 4.12 million: Lara Croft's latest adventure ""got off to a weak start"" for Square Enix alongside Just Cause 4",,https://www.gamesindustry.biz/articles/2019-02-19-shadow-of-the-tomb-raider-ships-4-12-million
"Square Enix consolidating its business divisions: Company plans to reorganize from 11 to four units, won't involve workforce reduction",,https://www.gamesindustry.biz/articles/2019-02-19-square-enix-consolidating-its-business-divisions
Overkill's The Walking Dead earned $3.7m from sales in Q4: Starbreeze full-year financial report underlines commercial performance of key title,,https://www.gamesindustry.biz/articles/2019-02-20-overkills-the-walking-dead-earned-usd3-6m-from-sales-in-q4
Report: China freezes new game approvals as regulators tackle backlog ,,http://www.gamasutra.com/view/news/337107/Report_China_freezes_new_game_approvals_as_regulators_tackle_backlog.php
Chinese government halts new game approvals to work through backlog: State Administration of Press and Publications to clear backlog before approving new submissions,,https://www.gamesindustry.biz/articles/2019-02-20-chinese-government-freezes-game-approvals-again
Tencent introduces streaming rules to stay on the up-and-up with Chinese law ,,http://www.gamasutra.com/view/news/337045/Tencent_introduces_streaming_rules_to_stay_on_the_upandup_with_Chinese_law.php
